dataset_name,subset,year,file_name,size,date_modified,url
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMAC15.dbc,59.3kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMAC16.dbc,51.3kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMAC17.dbc,53.3kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMAL15.dbc,298kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMAL16.dbc,322kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMAL17.dbc,409kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMAM15.dbc,135kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMAM16.dbc,131kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMAM17.dbc,150kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMAP15.dbc,36.9kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMAP16.dbc,34.0kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMAP17.dbc,38.6kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMBA15.dbc,729kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMBA16.dbc,679kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMBA17.dbc,942kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMCE15.dbc,157kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMCE16.dbc,201kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMCE17.dbc,243kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMDF15.dbc,40.8kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMDF16.dbc,56.3kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMDF17.dbc,59.6kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMES15.dbc,226kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMES16.dbc,231kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMES17.dbc,361kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMGO15.dbc,193kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMGO16.dbc,218kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMGO17.dbc,295kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMMA15.dbc,140kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMMA16.dbc,137kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMMA17.dbc,195kB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2015,ANIMMG15.dbc,1.4MB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2016,ANIMMG16.dbc,1.5MB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
SINAN_PRELIM,acidente_animais_peconhentos,2017,ANIMMG17.dbc,1.9MB,"5/10/19,1:08:00PM",ftp://ftp.datasus.gov.br/dissemin/publicos/SINAN/DADOS/PRELIM/
